similarity,prob_exact_p0,prob_exact_p1,prob_partial_p0,prob_partial_p1
0.9997479250958493,1.3626335891905003e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997482416746734,1.3835660030161739e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997485582534973,1.4000210003150047e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997488748323213,1.4225864043417337e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997491914111454,1.448888991920995e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997495079899693,1.4702012264418631e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997498245687934,1.4972301242701002e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997501411476174,1.5281313703976503e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997504577264413,1.5523780102550092e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997507743052654,1.582626558689332e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997510908840893,1.6080919185340634e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997514074629134,1.6433448641364633e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997517240417374,1.6781057542246312e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997520406205613,1.7081724092576113e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997523571993854,1.7525841853813447e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997526737782093,1.795248336702416e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997529903570334,1.8325456441306311e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997533069358574,1.8838777740100222e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997536235146813,1.931960224802892e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997539400935054,1.9739361471135132e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997542566723294,2.032346832180993e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997545732511534,2.0917395114951544e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997548898299774,2.1443581935926575e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997552064088013,2.216091037019801e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997555229876254,2.2903420854938892e-06,0.0,2.938130320770378e-05,2.664007733233877e-05
0.9997558395664494,2.359241739704859e-06,0.0,3.209386814555211e-05,2.664007733233877e-05
0.9997561561452734,2.447015986355439e-06,0.0,3.209386814555211e-05,2.664007733233877e-05
0.9997564727240974,2.5550681053403477e-06,0.0,3.209386814555211e-05,2.664007733233877e-05
